pair_id,layer_id,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,visual_token_count,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000028,final,2264,16,,patch_candidate,0.1015625,cosine_distance,0.005,0.027851458885941646,1508,0.8984375,0.0005968306578841864,0.0005207716758840638,
pair_000029,final,2264,17,,patch_candidate,0.0859375,cosine_distance,0.005,0.015251989389920425,1508,0.9140625,0.0007458870609601338,0.00038684423615678245,
pair_000030,final,2264,18,,patch_candidate,0.1015625,cosine_distance,0.005,0.022546419098143235,1508,0.8984375,0.0007043071344596188,0.0008632146988083211,
pair_000031,final,2505,4,,near,0.0234375,cosine_distance,0.005,0.02586206896551724,1508,0.9765625,0.0017480203083583288,0.0008083773322924415,
pair_000032,final,2565,6,,patch_candidate,0.0625,cosine_distance,0.005,0.07625994694960213,1508,0.9375,0.005883112058534727,0.0020845675434793647,
pair_000033,final,2646,5,,patch_candidate,0.0546875,cosine_distance,0.005,0.021220159151193633,1508,0.9453125,0.0045375823974609375,0.0008550613681225406,
pair_000034,final,2687,9,,near,0.03125,cosine_distance,0.005,0.033156498673740056,1508,0.96875,0.001351135117667062,0.0009961437235750249,
pair_000035,final,2727,3,,patch_candidate,0.0546875,cosine_distance,0.005,0.03183023872679045,1508,0.9453125,0.0017015401806150163,0.0007294370384698503,
pair_000036,final,2727,4,,near,0.0234375,cosine_distance,0.005,0.021220159151193633,1508,0.9765625,0.002173124040876116,0.0006421452789021769,
pair_000037,final,2787,3,,near,0.03125,cosine_distance,0.005,0.04111405835543767,1508,0.96875,0.0026777483979049995,0.0011208532933424072,
pair_000038,final,2928,9,,near,0.015625,cosine_distance,0.005,0.016578249336870028,1508,0.984375,0.00018359720706939697,0.0003396959478321744,
pair_000039,final,2928,13,,patch_candidate,0.0625,cosine_distance,0.005,0.015915119363395226,1508,0.9375,0.0016003637523441525,0.00035843659052986785,
pair_000040,final,3008,6,,patch_candidate,0.1171875,cosine_distance,0.005,0.10411140583554376,1508,0.8828125,0.004460823283624397,0.002394050969781073,
pair_000041,final,3008,7,,patch_candidate,0.0859375,cosine_distance,0.005,0.028514588859416445,1508,0.9140625,0.002595412130115413,0.0005182677932228434,
pair_000042,final,3008,9,,patch_candidate,0.109375,cosine_distance,0.005,0.06962864721485411,1508,0.890625,0.003726378659517067,0.001552101626105118,
pair_000043,final,3008,12,,near,0.03125,cosine_distance,0.005,0.008620689655172414,1508,0.96875,0.0004964172840118408,0.0002516204387071513,
pair_000044,final,3048,3,,patch_candidate,0.09375,cosine_distance,0.005,0.02586206896551724,1508,0.90625,0.0016524014265640922,0.0006901127578568285,
pair_000045,final,3148,4,,patch_candidate,0.109375,cosine_distance,0.005,0.07891246684350132,1508,0.890625,0.005056328974760972,0.0016434138071237674,
pair_000046,final,3188,0,,patch_candidate,0.1015625,cosine_distance,0.005,0.03580901856763926,1508,0.8984375,0.004125539319855826,0.0008152672334721214,
pair_000047,final,3308,2,,near,0.0234375,cosine_distance,0.005,0.014588859416445624,1508,0.9765625,0.0010779551097324916,0.0003207980655765987,
pair_000048,final,3408,5,,patch_candidate,0.0546875,cosine_distance,0.005,0.02453580901856764,1508,0.9453125,0.0007446261013255399,0.0005061430404995498,
pair_000049,final,3589,2,,near,0.015625,cosine_distance,0.005,0.002652519893899204,1508,0.984375,0.0003922922270638602,6.9842253584307e-05,
pair_000050,final,3811,6,,patch_candidate,0.0625,cosine_distance,0.005,0.03116710875331565,1508,0.9375,0.0023869000948392428,0.0006939596328923798,
pair_000051,final,3871,1,,patch_candidate,0.125,cosine_distance,0.005,0.017241379310344827,1508,0.875,0.0021578302750220667,0.00024941545625977205,
pair_000052,final,4191,4,,patch_candidate,0.078125,cosine_distance,0.005,0.021883289124668436,1508,0.921875,0.0020595177360202954,0.0007267223787410433,
pair_000053,final,4211,8,,patch_candidate,0.140625,cosine_distance,0.005,0.038461538461538464,1508,0.859375,0.0042528955681810105,0.00037805500301531014,
pair_000054,final,4211,10,,patch_candidate,0.1484375,cosine_distance,0.005,0.11405835543766578,1508,0.8515625,0.005825461560835218,0.002342765386930236,
pair_000055,final,4211,12,,near,0.03125,cosine_distance,0.005,0.015251989389920425,1508,0.96875,0.0025417847292763846,0.0004154160354504969,
pair_000056,final,4211,13,,near,0.03125,cosine_distance,0.005,0.016578249336870028,1508,0.96875,0.002970911207653227,0.0002796610494590228,
pair_000057,final,4311,4,,patch_candidate,0.0546875,cosine_distance,0.005,0.02586206896551724,1508,0.9453125,0.0011701324406792135,0.000730468660530203,
pair_000058,final,4331,2,,near,0.015625,cosine_distance,0.005,0.006631299734748011,1508,0.984375,0.00031012555827265203,0.0003054180530586628,
pair_000059,final,4571,3,,near,0.015625,cosine_distance,0.005,0.005305039787798408,1508,0.984375,1.1989048549107143e-05,0.00018974400587988346,
pair_000060,final,4591,4,,near,0.0078125,cosine_distance,0.005,0.002652519893899204,1508,0.9921875,0.00011144365583147322,6.0815719030127376e-05,
pair_000061,final,4733,1,,near,0.015625,cosine_distance,0.005,0.003978779840848806,1508,0.984375,1.645939690726144e-05,9.802603128378073e-05,
pair_000062,final,4954,4,,near,0.0078125,cosine_distance,0.005,0.001326259946949602,1508,0.9921875,0.00029925789151872905,3.1938042980603266e-05,
pair_000063,final,5054,5,,near,0.0234375,cosine_distance,0.005,0.004641909814323607,1508,0.9765625,3.047325672247471e-05,9.213705465370007e-05,
pair_000064,final,5174,1,,near,0.0078125,cosine_distance,0.005,0.002652519893899204,1508,0.9921875,3.693784986223493e-05,0.00011502521026936632,
pair_000065,final,5475,3,,near,0.0234375,cosine_distance,0.005,0.01403061224489796,1568,0.9765625,0.0037930068515595935,0.00036189686580222994,
pair_000066,final,5475,5,,patch_candidate,0.109375,cosine_distance,0.005,0.04145408163265306,1568,0.890625,0.00254075288772583,0.0007652300600516052,
pair_000067,final,5655,4,,near,0.0234375,cosine_distance,0.005,0.033156498673740056,1508,0.9765625,0.0047459193638392854,0.0007269717525319023,
pair_000068,final,5655,5,,patch_candidate,0.140625,cosine_distance,0.005,0.08222811671087533,1508,0.859375,0.008517728343030414,0.0009009618852652755,
pair_000069,final,5696,4,,near,0.0078125,cosine_distance,0.005,0.001326259946949602,1508,0.9921875,0.00038566759654453823,4.3612611365270646e-05,
pair_000070,final,6219,4,,patch_candidate,0.1328125,cosine_distance,0.005,0.03647214854111406,1508,0.8671875,0.004390099469353171,0.0005793300417303308,
pair_000071,final,6219,9,,patch_candidate,0.0703125,cosine_distance,0.005,0.028514588859416445,1508,0.9296875,0.0008912169271045261,0.0006152628575052534,
pair_000072,final,6279,4,,near,0.0390625,cosine_distance,0.005,0.01790450928381963,1508,0.9609375,5.68458012172154e-05,0.0004399137353145398,
pair_000073,final,6279,5,,near,0.03125,cosine_distance,0.005,0.006631299734748011,1508,0.96875,3.124134881155831e-05,0.0001684318297881872,
pair_000074,final,6759,2,,patch_candidate,0.09375,cosine_distance,0.005,0.07625994694960213,1508,0.90625,0.01111880987882614,0.0010296433545007903,
pair_000075,final,7180,7,,near,0.046875,cosine_distance,0.005,0.027851458885941646,1508,0.953125,0.0003052874216957698,0.0008099452022037704,
pair_000076,final,7180,9,,near,0.0390625,cosine_distance,0.005,0.015251989389920425,1508,0.9609375,0.00030068201678139824,0.0003169579611008489,
pair_000077,final,7180,10,,patch_candidate,0.0546875,cosine_distance,0.005,0.023209549071618037,1508,0.9453125,0.0006909979287014213,0.00047839766256379575,
pair_000078,final,7200,0,,near,0.03125,cosine_distance,0.005,0.005968169761273209,1508,0.96875,0.001396722736812773,0.00017611070511936328,
pair_000079,final,7200,1,,near,0.03125,cosine_distance,0.005,0.006631299734748011,1508,0.96875,0.000902963536126273,0.00013616876257392915,
pair_000080,final,7240,11,,patch_candidate,0.0546875,cosine_distance,0.005,0.03978779840848806,1508,0.9453125,0.0024912208318710327,0.0008358328943549742,
pair_000081,final,7240,13,,near,0.03125,cosine_distance,0.005,0.02453580901856764,1508,0.96875,0.0005046214376177106,0.0007017129818979725,
pair_000082,final,7240,14,,near,0.0078125,cosine_distance,0.005,0.0033156498673740055,1508,0.9921875,4.034808703831264e-05,0.00011515086753620521,
pair_000083,final,7420,2,,near,0.015625,cosine_distance,0.005,0.013925729442970823,1508,0.984375,0.0023334125677744546,0.00032566246800024235,
pair_000084,final,7740,12,,near,0.03125,cosine_distance,0.005,0.012599469496021221,1508,0.96875,0.00030245266708673214,0.00026840368361201445,
pair_000085,final,7840,7,,patch_candidate,0.0546875,cosine_distance,0.005,0.017241379310344827,1508,0.9453125,0.0018559410458519345,0.00023093551732181162,
pair_000086,final,7840,8,,patch_candidate,0.0546875,cosine_distance,0.005,0.019230769230769232,1508,0.9453125,0.003897949343635922,0.0003457104138443979,
pair_000087,final,7840,10,,near,0.046875,cosine_distance,0.005,0.03779840848806366,1508,0.953125,0.0021865367889404297,0.0010163554270787222,
pair_000088,final,7840,12,,patch_candidate,0.078125,cosine_distance,0.005,0.01989389920424403,1508,0.921875,0.0017910759363855635,0.0003066889109105982,
pair_000089,final,7840,13,,near,0.046875,cosine_distance,0.005,0.03647214854111406,1508,0.953125,0.0004827025570446932,0.0010697351960221564,
pair_000090,final,7880,7,,patch_candidate,0.1484375,cosine_distance,0.005,0.05570291777188329,1508,0.8515625,0.0016614771305733893,0.0012340530741485048,
pair_000091,final,7880,10,,patch_candidate,0.0703125,cosine_distance,0.005,0.07957559681697612,1508,0.9296875,0.00044063122376151705,0.0026297789636654384,
pair_000092,final,7880,11,,near,0.046875,cosine_distance,0.005,0.007957559681697613,1508,0.953125,6.154440996939676e-05,0.00022664701092415724,
pair_000093,final,7880,12,,patch_candidate,0.0703125,cosine_distance,0.005,0.029177718832891247,1508,0.9296875,0.00198837389817109,0.0006981628574297611,
pair_000094,final,7880,13,,near,0.015625,cosine_distance,0.005,0.007957559681697613,1508,0.984375,0.0006842641603379022,0.0001878902746994542,
pair_000095,final,7920,1,,patch_candidate,0.109375,cosine_distance,0.005,0.10676392572944297,1508,0.890625,0.004704993928788025,0.0034333003594187762,
pair_000096,final,7920,3,,patch_candidate,0.0703125,cosine_distance,0.005,0.1253315649867374,1508,0.9296875,0.00583379974170607,0.0036075073353787684,
pair_000097,final,8040,6,,patch_candidate,0.0546875,cosine_distance,0.005,0.011936339522546418,1508,0.9453125,0.0005849983010973249,0.0002471752806731159,
pair_000098,final,8180,12,,patch_candidate,0.09375,cosine_distance,0.005,0.09549071618037135,1508,0.90625,0.001523026398250035,0.0027552769196502527,
pair_000099,final,8422,9,,patch_candidate,0.1328125,cosine_distance,0.005,0.07957559681697612,1508,0.8671875,0.003947555120266862,0.0017504602374695383,
pair_000100,final,8622,9,,patch_candidate,0.0546875,cosine_distance,0.005,0.03183023872679045,1508,0.9453125,0.0007853585404235047,0.0008694987710250332,
