dimension,value,feature_boundary,layer_id,threshold,feature_metric,pair_count,pixel_changed_ratio,feature_changed_ratio,correlation
task,I want to search a house to buy in the Netherlands.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task,I want to search a house to buy in the Netherlands.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I want to search a house to buy in the Netherlands.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I want to search for a flight from Knoxville to Hawaii.,model_ready_visual,final,0.005,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.14235190097259062, ""median"": 0.1273209549071618, ""p90"": 0.1909814323607427, ""min"": 0.09283819628647215, ""max"": 0.20689655172413793, ""std"": 0.04776172886319895}",0.5156382929525946
task,I want to search for a flight from Knoxville to Hawaii.,model_ready_visual,final,0.01,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.11671087533156499, ""median"": 0.11140583554376658, ""p90"": 0.1559681697612732, ""min"": 0.07161803713527852, ""max"": 0.16710875331564987, ""std"": 0.03916398689717082}",0.6211685666097134
task,I want to search for a flight from Knoxville to Hawaii.,model_ready_visual,final,0.03,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.08222811671087533, ""median"": 0.08222811671087533, ""p90"": 0.11193633952254642, ""min"": 0.04509283819628647, ""max"": 0.11936339522546419, ""std"": 0.030320827938960647}",0.6933752452815365
task,I want to search for a flight from Knoxville to Hawaii.,model_ready_visual,final,0.05,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.0680813439434129, ""median"": 0.06896551724137931, ""p90"": 0.09230769230769231, ""min"": 0.03713527851458886, ""max"": 0.09814323607427056, ""std"": 0.024914240147843273}",0.7112392475083752
task,I want to search for a flight from Knoxville to Hawaii.,model_ready_visual,final,0.1,cosine_distance,3,"{""count"": 3, ""mean"": 0.0859375, ""median"": 0.09375, ""p90"": 0.10625000000000001, ""min"": 0.0546875, ""max"": 0.109375, ""std"": 0.0229993772560621}","{""count"": 3, ""mean"": 0.052166224580017684, ""median"": 0.04509283819628647, ""p90"": 0.07904509283819629, ""min"": 0.023872679045092837, ""max"": 0.08753315649867374, ""std"": 0.026466188412194107}",0.5447047794019222
task,I want to search for some interesting activities in Hawaii.,model_ready_visual,final,0.005,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.28116710875331563, ""median"": 0.28116710875331563, ""p90"": 0.29602122015915117, ""min"": 0.2625994694960212, ""max"": 0.29973474801061006, ""std"": 0.018567639257294433}",
task,I want to search for some interesting activities in Hawaii.,model_ready_visual,final,0.01,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.21750663129973474, ""median"": 0.21750663129973474, ""p90"": 0.22811671087533159, ""min"": 0.20424403183023873, ""max"": 0.23076923076923078, ""std"": 0.013262599469496025}",
task,I want to search for some interesting activities in Hawaii.,model_ready_visual,final,0.03,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.16047745358090187, ""median"": 0.16047745358090187, ""p90"": 0.16366047745358092, ""min"": 0.15649867374005305, ""max"": 0.16445623342175067, ""std"": 0.003978779840848809}",
task,I want to search for some interesting activities in Hawaii.,model_ready_visual,final,0.05,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.13925729442970824, ""median"": 0.13925729442970824, ""p90"": 0.14244031830238726, ""min"": 0.13527851458885942, ""max"": 0.14323607427055704, ""std"": 0.003978779840848809}",
task,I want to search for some interesting activities in Hawaii.,model_ready_visual,final,0.1,cosine_distance,2,"{""count"": 2, ""mean"": 0.140625, ""median"": 0.140625, ""p90"": 0.140625, ""min"": 0.140625, ""max"": 0.140625, ""std"": 0.0}","{""count"": 2, ""mean"": 0.10079575596816977, ""median"": 0.10079575596816977, ""p90"": 0.10079575596816977, ""min"": 0.10079575596816977, ""max"": 0.10079575596816977, ""std"": 0.0}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,model_ready_visual,final,0.005,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.03978779840848806, ""median"": 0.03978779840848806, ""p90"": 0.04190981432360742, ""min"": 0.03713527851458886, ""max"": 0.042440318302387266, ""std"": 0.0026525198938992037}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,model_ready_visual,final,0.01,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.01989389920424403, ""median"": 0.01989389920424403, ""p90"": 0.023076923076923078, ""min"": 0.015915119363395226, ""max"": 0.023872679045092837, ""std"": 0.0039787798408488055}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,model_ready_visual,final,0.03,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.014588859416445624, ""median"": 0.014588859416445624, ""p90"": 0.015649867374005304, ""min"": 0.013262599469496022, ""max"": 0.015915119363395226, ""std"": 0.0013262599469496018}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,model_ready_visual,final,0.05,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.003978779840848806, ""median"": 0.003978779840848806, ""p90"": 0.005039787798408487, ""min"": 0.002652519893899204, ""max"": 0.005305039787798408, ""std"": 0.001326259946949602}",
task,I want to send the Google Keep Document to Carlos3345@gmail.com in the Google Drive App,model_ready_visual,final,0.1,cosine_distance,2,"{""count"": 2, ""mean"": 0.03125, ""median"": 0.03125, ""p90"": 0.03125, ""min"": 0.03125, ""max"": 0.03125, ""std"": 0.0}","{""count"": 2, ""mean"": 0.001326259946949602, ""median"": 0.001326259946949602, ""p90"": 0.0023872679045092837, ""min"": 0.0, ""max"": 0.002652519893899204, ""std"": 0.001326259946949602}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.11140583554376658, ""median"": 0.11140583554376658, ""p90"": 0.11140583554376658, ""min"": 0.11140583554376658, ""max"": 0.11140583554376658, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07161803713527852, ""median"": 0.07161803713527852, ""p90"": 0.07161803713527852, ""min"": 0.07161803713527852, ""max"": 0.07161803713527852, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.042440318302387266, ""median"": 0.042440318302387266, ""p90"": 0.042440318302387266, ""min"": 0.042440318302387266, ""max"": 0.042440318302387266, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.023872679045092837, ""median"": 0.023872679045092837, ""p90"": 0.023872679045092837, ""min"": 0.023872679045092837, ""max"": 0.023872679045092837, ""std"": 0.0}",
task,I want to set an alarm for every weekday at 7:00 AM on the clock app for the gym so that I don't miss my workout.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.007957559681697613, ""median"": 0.007957559681697613, ""p90"": 0.007957559681697613, ""min"": 0.007957559681697613, ""max"": 0.007957559681697613, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.007957559681697613, ""median"": 0.007957559681697613, ""p90"": 0.007957559681697613, ""min"": 0.007957559681697613, ""max"": 0.007957559681697613, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task,I want to upload the Book Report-2.pptx file to my drive because I'm changing my mobile device.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.3156498673740053, ""median"": 0.3156498673740053, ""p90"": 0.3156498673740053, ""min"": 0.3156498673740053, ""max"": 0.3156498673740053, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.22281167108753316, ""median"": 0.22281167108753316, ""p90"": 0.22281167108753316, ""min"": 0.22281167108753316, ""max"": 0.22281167108753316, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.16445623342175067, ""median"": 0.16445623342175067, ""p90"": 0.16445623342175067, ""min"": 0.16445623342175067, ""max"": 0.16445623342175067, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.13793103448275862, ""median"": 0.13793103448275862, ""p90"": 0.13793103448275862, ""min"": 0.13793103448275862, ""max"": 0.13793103448275862, ""std"": 0.0}",
task,"I would like to add text to the celestial  theme presentation slide through show app saying ""we cant help everyone , but everyone can help someone""",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.09375, ""median"": 0.09375, ""p90"": 0.09375, ""min"": 0.09375, ""max"": 0.09375, ""std"": 0.0}","{""count"": 1, ""mean"": 0.10875331564986737, ""median"": 0.10875331564986737, ""p90"": 0.10875331564986737, ""min"": 0.10875331564986737, ""max"": 0.10875331564986737, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.14588859416445624, ""median"": 0.14588859416445624, ""p90"": 0.14588859416445624, ""min"": 0.14588859416445624, ""max"": 0.14588859416445624, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.11405835543766578, ""median"": 0.11405835543766578, ""p90"": 0.11405835543766578, ""min"": 0.11405835543766578, ""max"": 0.11405835543766578, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.06896551724137931, ""median"": 0.06896551724137931, ""p90"": 0.06896551724137931, ""min"": 0.06896551724137931, ""max"": 0.06896551724137931, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04774535809018567, ""median"": 0.04774535809018567, ""p90"": 0.04774535809018567, ""min"": 0.04774535809018567, ""max"": 0.04774535809018567, ""std"": 0.0}",
task,I would like to browse my favorite genre of prose books.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.1015625, ""median"": 0.1015625, ""p90"": 0.1015625, ""min"": 0.1015625, ""max"": 0.1015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.010610079575596816, ""median"": 0.010610079575596816, ""p90"": 0.010610079575596816, ""min"": 0.010610079575596816, ""max"": 0.010610079575596816, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.01856763925729443, ""median"": 0.01856763925729443, ""p90"": 0.01856763925729443, ""min"": 0.01856763925729443, ""max"": 0.01856763925729443, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.015915119363395226, ""median"": 0.015915119363395226, ""p90"": 0.015915119363395226, ""min"": 0.015915119363395226, ""max"": 0.015915119363395226, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.007957559681697613, ""median"": 0.007957559681697613, ""p90"": 0.007957559681697613, ""min"": 0.007957559681697613, ""max"": 0.007957559681697613, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,I'd want to view my shopping cart to see what things I've added.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.015625, ""median"": 0.015625, ""p90"": 0.015625, ""min"": 0.015625, ""max"": 0.015625, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.10875331564986737, ""median"": 0.10875331564986737, ""p90"": 0.10875331564986737, ""min"": 0.10875331564986737, ""max"": 0.10875331564986737, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07427055702917772, ""median"": 0.07427055702917772, ""p90"": 0.07427055702917772, ""min"": 0.07427055702917772, ""max"": 0.07427055702917772, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.04509283819628647, ""median"": 0.04509283819628647, ""p90"": 0.04509283819628647, ""min"": 0.04509283819628647, ""max"": 0.04509283819628647, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03713527851458886, ""median"": 0.03713527851458886, ""p90"": 0.03713527851458886, ""min"": 0.03713527851458886, ""max"": 0.03713527851458886, ""std"": 0.0}",
task,I'm going to Rio de Janeiro with my friend Carlos next month. I'll look for lodging for two persons visiting rio de janeiro from November 6 to November 10 using the Agoda app.,model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.03183023872679045, ""median"": 0.03183023872679045, ""p90"": 0.03183023872679045, ""min"": 0.03183023872679045, ""max"": 0.03183023872679045, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.19363395225464192, ""median"": 0.19363395225464192, ""p90"": 0.19363395225464192, ""min"": 0.19363395225464192, ""max"": 0.19363395225464192, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.14588859416445624, ""median"": 0.14588859416445624, ""p90"": 0.14588859416445624, ""min"": 0.14588859416445624, ""max"": 0.14588859416445624, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.09549071618037135, ""median"": 0.09549071618037135, ""p90"": 0.09549071618037135, ""min"": 0.09549071618037135, ""max"": 0.09549071618037135, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.07957559681697612, ""median"": 0.07957559681697612, ""p90"": 0.07957559681697612, ""min"": 0.07957559681697612, ""max"": 0.07957559681697612, ""std"": 0.0}",
task,"I'm planning to visit Cape Town with four friends, therefore search for a hotel in Cape Town for five nights between December 23rd and December 28th, 2023 in the expedia app.",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0546875, ""median"": 0.0546875, ""p90"": 0.0546875, ""min"": 0.0546875, ""max"": 0.0546875, ""std"": 0.0}","{""count"": 1, ""mean"": 0.042440318302387266, ""median"": 0.042440318302387266, ""p90"": 0.042440318302387266, ""min"": 0.042440318302387266, ""max"": 0.042440318302387266, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",model_ready_visual,final,0.005,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",model_ready_visual,final,0.01,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",model_ready_visual,final,0.03,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.005305039787798408, ""median"": 0.005305039787798408, ""p90"": 0.005305039787798408, ""min"": 0.005305039787798408, ""max"": 0.005305039787798408, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",model_ready_visual,final,0.05,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.002652519893899204, ""median"": 0.002652519893899204, ""p90"": 0.002652519893899204, ""min"": 0.002652519893899204, ""max"": 0.002652519893899204, ""std"": 0.0}",
task,"In All Trails, launch the explore tab and click the first place with 4.5 stars in Detroit",model_ready_visual,final,0.1,cosine_distance,1,"{""count"": 1, ""mean"": 0.0078125, ""median"": 0.0078125, ""p90"": 0.0078125, ""min"": 0.0078125, ""max"": 0.0078125, ""std"": 0.0}","{""count"": 1, ""mean"": 0.0, ""median"": 0.0, ""p90"": 0.0, ""min"": 0.0, ""max"": 0.0, ""std"": 0.0}",
