global_index,sampled_episode_position,source_record_index,episode_id,step_id,app,package,app_key,task_key,image_path,image_sha256,width,height,dhash64,tile_rows,tile_cols,has_history,history_comparisons,exact_sha256_match,min_dhash_hamming,max_tile_unchanged_ratio,nearest_global_index,nearest_episode_id,nearest_step_id,nearest_image_sha256,nearest_same_episode,nearest_same_task,nearest_same_app,current_cache_config_hit_type,current_cache_config_hit,dhash_le_0,dhash_le_2,dhash_le_4,dhash_le_8,dhash_le_16,tile_ge_0.9,tile_ge_0.95,tile_ge_0.98,tile_ge_0.99
15,5,14,80,0,,,,"Open the Yahoo Mail App, Select the Starva Mail and Unmark an Email as read. ",data/androidcontrol_mini/images/episode_80/step_0.png,e7a273662d03c28106bdaacaebfb174692dee530d1983cc0d78f4e551de1c842,1080,2400,6766335644555555,8,16,True,14,False,27,0.0,4,20,0,1fe0e8f32d114d4e987dfe1ebb5d89c80799a51c6995a366c3b87fa5e8d927c6,False,False,,miss,False,False,False,False,False,False,False,False,False,False
16,5,15,80,1,,,,"Open the Yahoo Mail App, Select the Starva Mail and Unmark an Email as read. ",data/androidcontrol_mini/images/episode_80/step_1.png,ea1ad26c463b31bdda078f2c429a2e1b5512febfc2f22df1381f12841a7c260a,1080,2400,707e9efe37b333ee,8,16,True,15,False,26,0.0,1,0,0,f32c653b876e5890e8b0b2f4b3bd0ef363ebf7b694d09e2bc7450462ea26d22e,False,False,,miss,False,False,False,False,False,False,False,False,False,False
17,5,16,80,2,,,,"Open the Yahoo Mail App, Select the Starva Mail and Unmark an Email as read. ",data/androidcontrol_mini/images/episode_80/step_2.png,fc8857f215f4f87f7a9447e5928cce3ba2703fe0679ee40f972dc0e6160bc0e4,1080,2400,707d3e3e3333332a,8,16,True,16,False,11,0.0,16,80,1,ea1ad26c463b31bdda078f2c429a2e1b5512febfc2f22df1381f12841a7c260a,True,True,,miss,False,False,False,False,False,True,False,False,False,False
18,6,17,100,0,,,,"If I lose connection to the internet, I want to make the agents.txt file accessible offline in Google Drive so that I can readily access it.",data/androidcontrol_mini/images/episode_100/step_0.png,6f631082090b251c41cd9e46b0572538333b6126ebae4aab86c9d2582cd4539c,1080,2400,31323c38f03a3455,8,16,True,17,False,26,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,False,False,False,False,False
19,6,18,100,1,,,,"If I lose connection to the internet, I want to make the agents.txt file accessible offline in Google Drive so that I can readily access it.",data/androidcontrol_mini/images/episode_100/step_1.png,6cc3302b3d3f7084023e12abb9b9b175ba1d53e0322fc6c9e6da58c2c313de71,1080,2400,702230383830302c,8,16,True,18,False,16,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,True,False,False,False,False
20,7,19,140,0,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_0.png,e7b6e5e1d52ae9a225764fe7f6456884c747af4f18042a2609de6ce417f71c19,1080,2400,4047432f2b434b77,8,16,True,19,False,23,0.046875,14,60,5,2d2e3051de550e95e6447778b2c6131d58d5814a0bdff4bfd16a782c45b1d47f,False,False,,miss,False,False,False,False,False,False,False,False,False,False
21,7,20,140,1,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_1.png,ec16dfedf040ad7b827ea7d88366bbaaf0d23972bbf87f810a27380414ac0474,1080,2400,307e6a6d696992cc,8,16,True,20,False,15,0.0,10,60,1,d98571d5a1cac702df2760c400d16e9c0d159a9a09aff4fbca098712febf616b,False,False,,miss,False,False,False,False,False,True,False,False,False,False
22,7,21,140,2,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_2.png,e22486f5244f98ccd5b35161eaa4d8a8c2e6f988a36f1332672abbee42e610e0,1080,2400,468e8f9f5d1d661c,8,16,True,21,False,24,0.0,6,20,2,e89eb78a6783513a278062c7f709ea0e17236b151675fa026237204b79b0e365,False,False,,miss,False,False,False,False,False,False,False,False,False,False
23,7,22,140,3,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_3.png,d646bf5f1d29441e91d4cc71f5f56b0c91952bacf5a723b344a226cc53e96d62,1080,2400,569b8f9f5d1d661c,8,16,True,22,False,4,0.84375,22,140,2,e22486f5244f98ccd5b35161eaa4d8a8c2e6f988a36f1332672abbee42e610e0,True,True,,miss,False,False,False,True,True,True,False,False,False,False
24,7,23,140,4,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_4.png,e14620767cc893b865f17be620529938cfd9cb05468f3d643ff66668fc46139f,1080,2400,569f8f9f5d1d661c,8,16,True,23,False,1,0.7421875,23,140,3,d646bf5f1d29441e91d4cc71f5f56b0c91952bacf5a723b344a226cc53e96d62,True,True,,miss,False,False,True,True,True,True,False,False,False,False
25,7,24,140,5,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_5.png,d2727730ec9d01547b6ee7cb20ba617bd3722a7212fd0dbb645282db1cbd0bf3,1080,2400,661c3d894e17161c,8,16,True,24,False,19,0.2421875,24,140,4,e14620767cc893b865f17be620529938cfd9cb05468f3d643ff66668fc46139f,True,True,,miss,False,False,False,False,False,False,False,False,False,False
26,7,25,140,6,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_6.png,986d9d1c4655a1b3a885c9b7227bd754b28e078879450755a25dc9454af878b7,1080,2400,608e732b0000100c,8,16,True,25,False,16,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,True,False,False,False,False
27,7,26,140,7,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_7.png,82bb7d74157457c14c0bc35461ea777f4631058df83302398e2446d0b6099935,1080,2400,608e732b846de0ec,8,16,True,26,False,14,0.5,26,140,6,986d9d1c4655a1b3a885c9b7227bd754b28e078879450755a25dc9454af878b7,True,True,,miss,False,False,False,False,False,True,False,False,False,False
28,7,27,140,8,,,,"Share my favorite Book ""the Queen's Gambit"" to my Friend Natalie larson over her gmail address -natalie.larson1998@gmail.com from the  PocketBook app.",data/androidcontrol_mini/images/episode_140/step_8.png,a1e2a96d88f048f653a755fa2df0c6166f7015b806a125d637be6001ed8dc91c,1080,2400,602ebe00802de0ec,8,16,True,27,False,13,0.5234375,27,140,7,82bb7d74157457c14c0bc35461ea777f4631058df83302398e2446d0b6099935,True,True,,miss,False,False,False,False,False,True,False,False,False,False
29,8,28,160,0,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_0.png,912144fe911deb08ef268bfdbc734ff78547fd09b31c9baf1e1b85adc4b8f25b,1080,2400,34240070f0cc000f,8,16,True,28,False,16,0.3125,3,0,2,9ce364c888cfebd3e946baa6a38409166c22981569c41788cf96c88dc036c49c,False,False,,miss,False,False,False,False,False,True,False,False,False,False
30,8,29,160,1,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_1.png,ec20c1ae63daff0517fd1b3f38b3299c73a19c6bff44df98fadb7caa3791d1be,1080,2400,03849080c0800055,8,16,True,29,False,16,0.203125,3,0,2,9ce364c888cfebd3e946baa6a38409166c22981569c41788cf96c88dc036c49c,False,False,,miss,False,False,False,False,False,True,False,False,False,False
31,8,30,160,2,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_2.png,7f31cd928cc68f05737b430396eb1dc35484f84a50a0aac2a422d8dd09b7213d,1080,2400,259b9a9ac1939215,8,16,True,30,False,19,0.1796875,30,160,1,ec20c1ae63daff0517fd1b3f38b3299c73a19c6bff44df98fadb7caa3791d1be,True,True,,miss,False,False,False,False,False,False,False,False,False,False
32,8,31,160,3,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_3.png,fa775cd3d9287f2d426960ea5b7167eb76d892d19c895a80d83959f85017710a,1080,2400,300b0303230303d4,8,16,True,31,False,15,0.015625,31,160,2,7f31cd928cc68f05737b430396eb1dc35484f84a50a0aac2a422d8dd09b7213d,True,True,,miss,False,False,False,False,False,True,False,False,False,False
33,8,32,160,4,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_4.png,0a51f6e362fa59d25bca3f09d956ed2806e30b2524a7237e0e5a478affc59484,1080,2400,249b9a9a07425555,8,16,True,32,False,15,0.2265625,32,160,3,fa775cd3d9287f2d426960ea5b7167eb76d892d19c895a80d83959f85017710a,True,True,,miss,False,False,False,False,False,True,False,False,False,False
34,8,33,160,5,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_5.png,c77fc2eeaf787c60cad5856cb4c8ba65d46070996d1819335bfcfda5f8212335,1080,2400,300e59c188ede4ec,8,16,True,33,False,15,0.125,18,100,0,6f631082090b251c41cd9e46b0572538333b6126ebae4aab86c9d2582cd4539c,False,False,,miss,False,False,False,False,False,True,False,False,False,False
35,8,34,160,6,,,,I want to share ''Oscar and the wolf -somebody wants '' music to my friend karin.iversen@example.com via gmail ,data/androidcontrol_mini/images/episode_160/step_6.png,cdb0084445487733c1bdada47e5621d796df9d022c12b057da4a055c1061a237,1080,2400,301e9c0081ede4ec,8,16,True,34,False,10,0.59375,34,160,5,c77fc2eeaf787c60cad5856cb4c8ba65d46070996d1819335bfcfda5f8212335,True,True,,miss,False,False,False,False,False,True,False,False,False,False
36,9,35,220,0,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_0.png,bd97940e6ed575f2975b1ac547f91d527f51977cb3cca19c71629d6083a64f6d,1080,2400,181000b6b648010e,8,16,True,35,False,17,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,False,False,False,False,False
37,9,36,220,1,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_1.png,7877f5a3e1906f77b7e85b3bd778fff99c8391e6c1103406e1f42de83121c723,1080,2400,87b0545ca5804a78,8,16,True,36,False,23,0.015625,29,160,0,912144fe911deb08ef268bfdbc734ff78547fd09b31c9baf1e1b85adc4b8f25b,False,False,,miss,False,False,False,False,False,False,False,False,False,False
38,9,37,220,2,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_2.png,afa46ac4917cc8c7e89ce269cc921c47bfd7b611e81ef31ef016792b4c2aed7a,1080,2400,1d168e2020300ecc,8,16,True,37,False,20,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,False,False,False,False,False,False
39,9,38,220,3,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_3.png,46202e55b874aa2b0f3baff04fa3a930140f7fd6e27c88975de2d12561758461,1080,2400,878281e28e83b0aa,8,16,True,38,False,22,0.0859375,37,220,1,7877f5a3e1906f77b7e85b3bd778fff99c8391e6c1103406e1f42de83121c723,True,True,,miss,False,False,False,False,False,False,False,False,False,False
40,9,39,220,4,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_4.png,3d61c38dceca938fe1b69b9090a52b8fdedb7d4d1fd19537329c70efed11d0fa,1080,2400,8787a2945c44c4aa,8,16,True,39,False,23,0.109375,37,220,1,7877f5a3e1906f77b7e85b3bd778fff99c8391e6c1103406e1f42de83121c723,True,True,,miss,False,False,False,False,False,False,False,False,False,False
41,9,40,220,5,,,,"In the HealthifyMe app, view your today activity ",data/androidcontrol_mini/images/episode_220/step_5.png,43242f781de30f74a2a5952a2f949b2ad015cd0b6c19a0b3e6805e563143ff08,1080,2400,c3ce8a8fcf880014,8,16,True,40,False,15,0.2265625,30,160,1,ec20c1ae63daff0517fd1b3f38b3299c73a19c6bff44df98fadb7caa3791d1be,False,False,,miss,False,False,False,False,False,True,False,False,False,False
42,10,41,240,0,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_0.png,d07ba51360928d7c58a155092d137452ceec5228985d44c18d3bc357102f918d,1080,2400,e766339644555555,8,16,True,41,False,3,0.1796875,15,80,0,e7a273662d03c28106bdaacaebfb174692dee530d1983cc0d78f4e551de1c842,False,False,,miss,False,False,False,True,True,True,False,False,False,False
43,10,42,240,1,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_1.png,edf55e19f32aac97d74d8718cf0fbfe27dde864a727f95c048bb7dd5249de5e0,1080,2400,c5f4d89c81828282,8,16,True,42,False,21,0.03125,29,160,0,912144fe911deb08ef268bfdbc734ff78547fd09b31c9baf1e1b85adc4b8f25b,False,False,,miss,False,False,False,False,False,False,False,False,False,False
44,10,43,240,2,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_2.png,d3b059fc6b319481ffb656cd5ec1dcea30122f3819477b269632b0b870c9195f,1080,2400,8b93828a90dcde87,8,16,True,43,False,23,0.015625,29,160,0,912144fe911deb08ef268bfdbc734ff78547fd09b31c9baf1e1b85adc4b8f25b,False,False,,miss,False,False,False,False,False,False,False,False,False,False
45,10,44,240,3,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_3.png,33e5eafbc1314319615feea364bfd4c7c88feacaec04a91953097a926b065d07,1080,2400,839bf4e4d8d8a0c8,8,16,True,44,False,21,0.140625,44,240,2,d3b059fc6b319481ffb656cd5ec1dcea30122f3819477b269632b0b870c9195f,True,True,,miss,False,False,False,False,False,False,False,False,False,False
46,10,45,240,4,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_4.png,05efb85bdc6d2e688fea0592418b5bf66222c512dfdb41cd17b9104e4548f41c,1080,2400,87c9f0f0c0d4d0cc,8,16,True,45,False,15,0.203125,45,240,3,33e5eafbc1314319615feea364bfd4c7c88feacaec04a91953097a926b065d07,True,True,,miss,False,False,False,False,False,True,False,False,False,False
47,10,46,240,5,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_5.png,d05642c6ab4b86e4a33bbe9990b053aee276e077ea28017d72d2910a3239b728,1080,2400,93cdc4849ec6a68c,8,16,True,46,False,20,0.203125,46,240,4,05efb85bdc6d2e688fea0592418b5bf66222c512dfdb41cd17b9104e4548f41c,True,True,,miss,False,False,False,False,False,False,False,False,False,False
48,10,47,240,6,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_6.png,486d4540e77beb72812392d25fb46dcfc02d134d704c540fa537b8ba30859318,1080,2400,93a7869c96c6cc87,8,16,True,47,False,16,0.1875,44,240,2,d3b059fc6b319481ffb656cd5ec1dcea30122f3819477b269632b0b870c9195f,True,True,,miss,False,False,False,False,False,True,False,False,False,False
49,10,48,240,7,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_7.png,736bc8b8715df103b0c40196f0b457dd2de4545b362e7f0684b1a31ae9aa05f4,1080,2400,c3c00000ae8a80c2,8,16,True,48,False,18,0.21875,3,0,2,9ce364c888cfebd3e946baa6a38409166c22981569c41788cf96c88dc036c49c,False,False,,miss,False,False,False,False,False,False,False,False,False,False
50,10,49,240,8,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_8.png,38b7d22aeebe8bb2c12850937cbb8c75d670b687dfe7e5f4ce18ec1ccb761d67,1080,2400,c39686cecc8080c2,8,16,True,49,False,16,0.4765625,49,240,7,736bc8b8715df103b0c40196f0b457dd2de4545b362e7f0684b1a31ae9aa05f4,True,True,,miss,False,False,False,False,False,True,False,False,False,False
51,10,50,240,9,,,,Add paintings to cart on the Rtistiq app.,data/androidcontrol_mini/images/episode_240/step_9.png,31383afe7b53bdc8983d0a4d57ce117a6ee30e043a2642591794445832f6c374,1080,2400,440000000000200c,8,16,True,50,False,5,0.0,2,0,1,1c295abb180541e164869bf5e3ac42e05ef710fb49af1c992860319c13978751,False,False,,miss,False,False,False,False,True,True,False,False,False,False
